                   0 a=    x, b=    x, c=x, sum=    z, carry=z
                 3220                3220 a= 1378, b=23977, c=0, sum=40483, carry=0
                 3230                3230 a=25119, b= 2283, c=0, sum=25355, carry=0
                 3240                3240 a=22285, b= 4664, c=0, sum=27146, carry=0
                 3250                3250 a=12997, b= 3727, c=0, sum=26949, carry=0
                 3260                3260 a= 6731, b= 6923, c=0, sum=16724, carry=0
                 3270                3270 a=24448, b= 5933, c=0, sum=13654, carry=0
                 3280                3280 a=26706, b=19204, c=0, sum=30381, carry=0
                 3290                3290 a=10775, b=13062, c=0, sum=45910, carry=0
                 3300                3300 a=11682, b=19993, c=0, sum=23837, carry=0
                 3310                3310 a=22596, b=25190, c=0, sum=31675, carry=0
                 3320                3320 a=27018, b=15312, c=0, sum=47786, carry=0
                 3330                3330 a= 3534, b=22124, c=0, sum=42330, carry=0
                 3340                3340 a=16785, b=28651, c=0, sum=25658, carry=0
                 3350                3350 a= 5612, b=  636, c=0, sum=45564, carry=0
                 3360                3360 a=21815, b=14017, c=0, sum= 4200, carry=0
                 3370                3370 a=16139, b=27525, c=0, sum=36088, carry=0
                 3380                3380 a=13209, b=25743, c=0, sum=43664, carry=0
                 3390                3390 a=10543, b=13456, c=0, sum=38952, carry=0
                 3400                3400 a=23795, b= 3382, c=0, sum=24031, carry=0
                 3410                3410 a=27842, b= 5498, c=0, sum=27177, carry=0
                 3420                3420 a= 3889, b=26247, c=0, sum=33340, carry=0
                 3430                3430 a=29406, b=22945, c=0, sum=30136, carry=0
                 3440                3440 a= 9133, b=21541, c=0, sum=52383, carry=0
                 3450                3450 a=25948, b= 6024, c=0, sum=32722, carry=0
                 3460                3460 a= 6572, b=26202, c=0, sum=31972, carry=0
                 3470                3470 a= 6869, b= 8071, c=0, sum=39942, carry=0
                 3480                3480 a=25043, b=28238, c=0, sum=14940, carry=0
                 3490                3490 a= 3517, b= 2734, c=0, sum=55329, carry=0
                 3500                3500 a= 1688, b= 4436, c=0, sum= 6251, carry=0
                 3510                3510 a=23728, b=14966, c=0, sum= 5100, carry=0
                 3520                3520 a=20114, b= 6664, c=0, sum=38694, carry=0
                 3530                3530 a=27061, b=25614, c=0, sum=26778, carry=0
                 3540                3540 a= 4902, b= 9555, c=0, sum=52675, carry=0
                 3550                3550 a= 3131, b=24875, c=0, sum=14457, carry=0
                 3560                3560 a=15751, b=15839, c=0, sum=28006, carry=0
                 3570                3570 a= 1828, b=26506, c=0, sum=31590, carry=0
                 3580                3580 a=21926, b=18084, c=0, sum=28334, carry=0
                 3590                3590 a= 5307, b= 9579, c=0, sum=40010, carry=0
                 3600                3600 a= 7028, b= 1988, c=0, sum=14886, carry=0
                 3610                3610 a= 3245, b= 2513, c=0, sum= 9016, carry=0
                 3620                3620 a= 5093, b=10761, c=0, sum= 5886, carry=0
